institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
The non-financial corporations sector,Not consolidated,Closing balance sheet,2026 2nd quarter*,4122219,414976,9453,1392009,591148,800861,1967928,6132408,,188105,1830535,704061,1126474,3834064,-2010189
Financial corporations,Not consolidated,Opening balance sheet,2015,10202999,709599,1204575,3432399,1109417,2322982,4036207,10171500,1474503,1399939,1524122,723394,800728,3513435,31499
Financial corporations,Not consolidated,Opening balance sheet,2016,10555385,815669,1234917,3463935,1096921,2367014,4362618,10551910,1601205,1391672,1593726,737802,855924,3748122,3475
Financial corporations,Not consolidated,Opening balance sheet,2017,11318041,893536,1306492,3557664,1086603,2471061,4859619,11372982,1727383,1425497,1652330,738671,913659,4209446,-54941
Financial corporations,Not consolidated,Opening balance sheet,2018,11422280,935937,1302872,3500687,1041103,2459584,5090518,11439472,1730702,1322167,1739058,840634,898424,4398232,-17192
Financial corporations,Not consolidated,Opening balance sheet,2019,11057680,906864,1317451,3506868,969786,2537082,4794961,11086083,1718075,1350399,1679891,788426,891465,4152664,-28403
Financial corporations,Not consolidated,Opening balance sheet,2020,11759863,875254,1386450,3447519,1016661,2430858,5362159,11806633,1683136,1425368,1572118,797986,774132,4590836,-46770
Financial corporations,Not consolidated,Opening balance sheet,2021,11914896,1082936,1431549,3343040,942281,2400759,5284451,12033919,1974088,1411265,1436044,749758,686286,4437291,-119023
Financial corporations,Not consolidated,Opening balance sheet,2022,12185390,1147671,1497397,3512520,936840,2575680,5347719,12138871,2165262,1448731,1394241,634201,760040,4483465,46519
Financial corporations,Not consolidated,Opening balance sheet,2023,11804680,1242930,1221498,3608533,1006624,2601909,4797490,11660723,2178131,1319809,1356114,612258,743856,4197820,143957
Financial corporations,Not consolidated,Opening balance sheet,2024,11680473,1102026,1291193,3559724,988208,2571516,4901247,11549603,2044326,1350479,1305125,561601,743524,4214866,130870
Financial corporations,Not consolidated,Opening balance sheet,2025*,12040893,1108815,1375479,3655175,1021747,2633428,5077924,11906680,2088176,1392921,1300457,545157,755300,4406304,134213
Financial corporations,Not consolidated,Opening balance sheet,2026 1st quarter*,12193057,1173479,1358062,3760214,1056024,2704190,5024651,11968312,2162122,1424365,1311911,560686,751225,4453109,224745
Financial corporations,Not consolidated,Opening balance sheet,2026 2nd quarter*,12414095,1265833,1408050,3804281,1099051,2705230,4970289,12304999,2254278,1449870,1321990,572001,749989,4444220,109096
Financial corporations,Not consolidated,Financial transactions,2015,299933,84224,42631,-19045,-36817,17772,193632,281780,98005,-26005,44927,361,44566,167152,18153
Financial corporations,Not consolidated,Financial transactions,2016,469155,78191,41759,39044,-24715,63759,299784,456980,123924,21827,12822,-2017,14839,262999,12175
Financial corporations,Not consolidated,Financial transactions,2017,260511,64850,34674,44587,-7161,51748,128253,251794,40459,-34670,124830,128498,-3668,76149,8717
Financial corporations,Not consolidated,Financial transactions,2018,-363602,-35396,21373,-15687,-81787,66100,-355613,-382895,-23541,40055,-80476,-67859,-12617,-307430,19293
Financial corporations,Not consolidated,Financial transactions,2019,17667,-34736,26458,-84079,39944,-124023,34198,10963,-41501,15985,-115191,4128,-119319,67157,6704
Financial corporations,Not consolidated,Financial transactions,2020,219889,259031,27160,-49675,-53033,3358,-72120,217162,311726,-17089,-89861,-29542,-60319,-86326,2727
Financial corporations,Not consolidated,Financial transactions,2021,55818,52943,102364,98174,-21992,120166,-268084,29912,170527,29909,-77887,-115691,37804,-172543,25906
Financial corporations,Not consolidated,Financial transactions,2022,329872,87524,-38402,70123,55163,14960,-291245,284310,2370,827,-53535,-31166,-22369,-141872,45562
Financial corporations,Not consolidated,Financial transactions,2023,-88273,-135232,27618,-18011,-13189,-4822,-272030,-125283,-125486,-8255,-68163,-58633,-9530,-282837,37010
Financial corporations,Not consolidated,Financial transactions,2024,353230,-1560,85233,68428,9892,58536,-126534,337049,26294,12957,-12242,-18239,5997,-30096,16181
Financial corporations,Not consolidated,Financial transactions,2025*,699194,91295,30230,157892,59282,98610,-108483,675627,109970,62566,36155,22230,13925,-80307,23567
Financial corporations,Not consolidated,Financial transactions,2026 1st quarter*,374699,89645,60861,37930,40821,-2891,2215,484442,87030,37059,9134,13123,-3989,47500,-109743
Financial corporations,Not consolidated,Financial transactions,2026 2nd quarter*,2462,-33330,4395,27354,39500,-12146,-52023,8062,-2001,-1864,-44638,-9743,-34895,-17163,-5600
Financial corporations,Not consolidated,Other changes,2015,52453,21846,-12289,50581,24321,26260,132779,98630,28697,17738,24677,14047,10630,67535,-46177
Financial corporations,Not consolidated,Other changes,2016,293501,-324,29816,54685,14397,40288,197217,364092,2254,11998,45782,2886,42896,198325,-70591
Financial corporations,Not consolidated,Other changes,2017,-156272,-22449,-38294,-101564,-38339,-63225,102646,-185304,-37140,-68660,-38102,-26535,-11567,112637,29032
Financial corporations,Not consolidated,Other changes,2018,-998,6323,-6794,21868,10470,11398,60056,29506,10914,-11823,21309,15651,5658,61862,-30504
Financial corporations,Not consolidated,Other changes,2019,684516,3126,42541,24730,6931,17799,533000,709587,6562,58984,7418,5432,1986,371015,-25071
Financial corporations,Not consolidated,Other changes,2020,-64856,-51349,17939,-54804,-21347,-33457,-5588,10124,-20774,2986,-46213,-18686,-27527,-67219,-74980
Financial corporations,Not consolidated,Other changes,2021,214676,11792,-36516,71306,16551,54755,331352,75040,20647,7557,36084,134,35950,218717,139636
Financial corporations,Not consolidated,Other changes,2022,-710582,7735,-237497,25890,14621,11269,-258984,-762458,10499,-129749,15408,9223,6185,-143773,51876
Financial corporations,Not consolidated,Other changes,2023,-35934,-5672,42077,-30798,-5227,-25571,375787,14163,-8319,38925,17174,7976,9198,299883,-50097
Financial corporations,Not consolidated,Other changes,2024,7190,8349,-947,27023,23647,3376,303211,20028,17556,29485,7574,1795,5779,221534,-12838
Financial corporations,Not consolidated,Other changes,2025*,-547030,-26631,-47647,-52853,-25005,-27848,55210,-613995,-36024,-31122,-24701,-6701,-18000,127112,66965
Financial corporations,Not consolidated,Other changes,2026 1st quarter*,-153661,2709,-10873,6137,2206,3931,-56577,-147755,5126,-11554,945,-1808,2753,-56389,-5906
Financial corporations,Not consolidated,Other changes,2026 2nd quarter*,159348,1824,20176,8935,237,8698,238511,128854,2614,34356,-925,-3805,2880,138927,30494
Financial corporations,Not consolidated,Price changes and revaluations,2015,51116,21858,-12712,55548,25261,30287,126763,97083,28697,19312,25837,15075,10762,62950,-45967
Financial corporations,Not consolidated,Price changes and revaluations,2016,254427,59,30106,15180,14455,725,198012,318898,1391,10090,7711,2886,4825,198377,-64471
Financial corporations,Not consolidated,Price changes and revaluations,2017,-129792,-22449,-38294,-78823,-35969,-42854,106466,-161326,-37140,-46759,-38076,-21930,-16146,115701,31534
Financial corporations,Not consolidated,Price changes and revaluations,2018,911,6569,-7930,26411,13994,12417,58009,42150,10914,-11677,26021,18093,7928,63870,-41239
Financial corporations,Not consolidated,Price changes and revaluations,2019,705536,4395,42394,25626,7026,18600,552008,728875,6562,58984,10643,5436,5207,383887,-23339
Financial corporations,Not consolidated,Price changes and revaluations,2020,-44145,-15979,17939,-57765,-24924,-32841,-17467,37256,-20774,-18688,-32161,-18682,-13479,-66873,-81401
Financial corporations,Not consolidated,Price changes and revaluations,2021,335883,12976,-36462,36302,18103,18199,485903,205789,20647,6457,17368,11750,5618,369206,130094
Financial corporations,Not consolidated,Price changes and revaluations,2022,-720146,7135,-237497,25729,14877,10852,-267787,-781896,10499,-129749,15405,9222,6183,-151684,61750
Financial corporations,Not consolidated,Price changes and revaluations,2023,-227096,-5673,42077,-12497,-9767,-2730,168271,-177374,-8319,38007,-10403,-6350,-4053,138680,-49722
Financial corporations,Not consolidated,Price changes and revaluations,2024,25557,9779,-595,25114,14176,10938,321791,44262,17556,40305,7574,1795,5779,234950,-18705
Financial corporations,Not consolidated,Price changes and revaluations,2025*,-549469,-20325,-47654,-59498,-32157,-27341,55208,-616659,-36024,-31122,-24701,-6701,-18000,126539,67190
Financial corporations,Not consolidated,Price changes and revaluations,2026 1st quarter*,-149148,3839,-10873,9386,4969,4417,-56443,-143710,6256,-11554,3726,932,2794,-56255,-5438
Financial corporations,Not consolidated,Price changes and revaluations,2026 2nd quarter*,141852,2041,20176,6690,3105,3585,223043,111281,2831,27574,3594,606,2988,123400,30571
Financial corporations,Not consolidated,Other volume changes,2015,1337,-12,423,-4967,-940,-4027,6016,1547,0,-1574,-1160,-1028,-132,4585,-210
Financial corporations,Not consolidated,Other volume changes,2016,39074,-383,-290,39505,-58,39563,-795,45194,863,1908,38071,0,38071,-52,-6120
Financial corporations,Not consolidated,Other volume changes,2017,-26480,0,0,-22741,-2370,-20371,-3820,-23978,0,-21901,-26,-4605,4579,-3064,-2502
Financial corporations,Not consolidated,Other volume changes,2018,-1909,-246,1136,-4543,-3524,-1019,2047,-12644,0,-146,-4712,-2442,-2270,-2008,10735
Financial corporations,Not consolidated,Other volume changes,2019,-21020,-1269,147,-896,-95,-801,-19008,-19288,0,0,-3225,-4,-3221,-12872,-1732
Financial corporations,Not consolidated,Other volume changes,2020,-20711,-35370,0,2961,3577,-616,11879,-27132,0,21674,-14052,-4,-14048,-346,6421
Financial corporations,Not consolidated,Other volume changes,2021,-121207,-1184,-54,35004,-1552,36556,-154551,-130749,0,1100,18716,-11616,30332,-150489,9542
Financial corporations,Not consolidated,Other volume changes,2022,9564,600,0,161,-256,417,8803,19438,0,0,3,1,2,7911,-9874
Financial corporations,Not consolidated,Other volume changes,2023,191162,1,0,-18301,4540,-22841,207516,191537,0,918,27577,14326,13251,161203,-375
Financial corporations,Not consolidated,Other volume changes,2024,-18367,-1430,-352,1909,9471,-7562,-18580,-24234,0,-10820,0,0,0,-13416,5867
Financial corporations,Not consolidated,Other volume changes,2025*,2439,-6306,7,6645,7152,-507,2,2664,0,0,0,0,0,573,-225
Financial corporations,Not consolidated,Other volume changes,2026 1st quarter*,-4513,-1130,0,-3249,-2763,-486,-134,-4045,-1130,0,-2781,-2740,-41,-134,-468
Financial corporations,Not consolidated,Other volume changes,2026 2nd quarter*,17496,-217,0,2245,-2868,5113,15468,17573,-217,6782,-4519,-4411,-108,15527,-77
Financial corporations,Not consolidated,Closing balance sheet,2015,10555385,815669,1234917,3463935,1096921,2367014,4362618,10551910,1601205,1391672,1593726,737802,855924,3748122,3475
Financial corporations,Not consolidated,Closing balance sheet,2016,11318041,893536,1306492,3557664,1086603,2471061,4859619,11372982,1727383,1425497,1652330,738671,913659,4209446,-54941
Financial corporations,Not consolidated,Closing balance sheet,2017,11422280,935937,1302872,3500687,1041103,2459584,5090518,11439472,1730702,1322167,1739058,840634,898424,4398232,-17192
Financial corporations,Not consolidated,Closing balance sheet,2018,11057680,906864,1317451,3506868,969786,2537082,4794961,11086083,1718075,1350399,1679891,788426,891465,4152664,-28403
Financial corporations,Not consolidated,Closing balance sheet,2019,11759863,875254,1386450,3447519,1016661,2430858,5362159,11806633,1683136,1425368,1572118,797986,774132,4590836,-46770
Financial corporations,Not consolidated,Closing balance sheet,2020,11914896,1082936,1431549,3343040,942281,2400759,5284451,12033919,1974088,1411265,1436044,749758,686286,4437291,-119023
Financial corporations,Not consolidated,Closing balance sheet,2021,12185390,1147671,1497397,3512520,936840,2575680,5347719,12138871,2165262,1448731,1394241,634201,760040,4483465,46519
Financial corporations,Not consolidated,Closing balance sheet,2022,11804680,1242930,1221498,3608533,1006624,2601909,4797490,11660723,2178131,1319809,1356114,612258,743856,4197820,143957
Financial corporations,Not consolidated,Closing balance sheet,2023,11680473,1102026,1291193,3559724,988208,2571516,4901247,11549603,2044326,1350479,1305125,561601,743524,4214866,130870
Financial corporations,Not consolidated,Closing balance sheet,2024,12040893,1108815,1375479,3655175,1021747,2633428,5077924,11906680,2088176,1392921,1300457,545157,755300,4406304,134213
Financial corporations,Not consolidated,Closing balance sheet,2025*,12193057,1173479,1358062,3760214,1056024,2704190,5024651,11968312,2162122,1424365,1311911,560686,751225,4453109,224745
Financial corporations,Not consolidated,Closing balance sheet,2026 1st quarter*,12414095,1265833,1408050,3804281,1099051,2705230,4970289,12304999,2254278,1449870,1321990,572001,749989,4444220,109096
Financial corporations,Not consolidated,Closing balance sheet,2026 2nd quarter*,12575905,1234327,1432621,3840570,1138788,2701782,5156777,12441915,2254891,1482362,1276427,558453,717974,4565984,133990
General government,Not consolidated,Opening balance sheet,2015,346605,32167,12516,102822,37492,65330,91825,658376,20309,420097,140192,62349,77843,616,-311771
General government,Not consolidated,Opening balance sheet,2016,347220,38405,11571,100462,36984,63478,98951,656285,27745,405533,143038,63309,79729,647,-309065
General government,Not consolidated,Opening balance sheet,2017,350433,42776,11034,92425,33889,58536,103663,655009,33198,406373,137169,57893,79276,608,-304576
General government,Not consolidated,Opening balance sheet,2018,350954,48023,9843,93221,32294,60927,103649,630673,34275,387098,129067,52142,76925,656,-279719
General government,Not consolidated,Opening balance sheet,2019,353431,50928,11013,93493,29689,63804,103338,620580,37580,378150,122210,45017,77193,728,-267149
General government,Not consolidated,Opening balance sheet,2020,372696,57737,9854,92258,26456,65802,113300,621070,43882,373407,121706,42816,78890,843,-248374
General government,Not consolidated,Opening balance sheet,2021,408953,69523,9410,94920,25275,69645,109964,689689,49878,424850,115784,35540,80244,923,-280736
General government,Not consolidated,Opening balance sheet,2022,432822,76346,10379,94966,22746,72220,112941,716689,62985,430998,111198,29281,81917,1321,-283867
General government,Not consolidated,Opening balance sheet,2023,435532,92396,12084,101330,26174,75156,82303,675925,70841,383923,108230,24966,83264,1773,-240393
General government,Not consolidated,Opening balance sheet,2024,431889,95307,10285,84104,5299,78805,95423,679205,76664,393394,94556,10451,84105,2357,-247316
General government,Not consolidated,Opening balance sheet,2025*,477017,112061,12048,99796,3922,95874,109437,713107,96764,397013,94300,7569,86731,3104,-236090
General government,Not consolidated,Opening balance sheet,2026 1st quarter*,539555,131709,9789,113374,3918,109456,137867,757152,110070,408543,106476,18262,88214,3604,-217597
General government,Not consolidated,Opening balance sheet,2026 2nd quarter*,550178,131805,10559,119291,9946,109345,143128,762852,113971,403814,106262,18596,87666,3604,-212674
General government,Not consolidated,Financial transactions,2015,-11262,6243,-1008,-2698,-511,-2187,-4282,1290,7436,-10085,1784,-97,1881,30,-12552
General government,Not consolidated,Financial transactions,2016,-3255,4785,-541,-4313,-3036,-1277,-3067,-5936,5453,-3751,-5896,-5402,-494,22,2681
General government,Not consolidated,Financial transactions,2017,-3939,5199,-1334,945,-1530,2475,-5669,-14285,1077,-9495,-7889,-5644,-2245,42,10346
General government,Not consolidated,Financial transactions,2018,1854,2836,1100,321,-2613,2934,-197,-10100,3298,-8933,-6843,-7060,217,36,11954
General government,Not consolidated,Financial transactions,2019,7938,6848,-1321,-1290,-3233,1943,708,-7693,6302,-12694,-491,-2198,1707,120,15631
General government,Not consolidated,Financial transactions,2020,33923,11830,-363,2884,-1189,4073,-4577,64140,5996,46942,-5875,-7281,1406,68,-30217
General government,Not consolidated,Financial transactions,2021,22387,6801,942,19,-2529,2548,661,42616,13107,21555,-4609,-6285,1676,308,-20229
General government,Not consolidated,Financial transactions,2022,37311,16056,1955,6326,3428,2898,1372,37336,7856,30211,-2980,-4315,1335,555,-25
General government,Not consolidated,Financial transactions,2023,-16700,2915,-1841,-17180,-20875,3695,237,-13069,5823,-6961,-13663,-14515,852,622,-3631
General government,Not consolidated,Financial transactions,2024,29793,16584,1617,15584,-1377,16961,-733,37868,20100,7865,-351,-2882,2531,770,-8075
General government,Not consolidated,Financial transactions,2025*,34167,19648,-2136,13754,-4,13758,-297,53106,13306,20490,12195,10693,1502,500,-18939
General government,Not consolidated,Financial transactions,2026 1st quarter*,5094,96,772,5891,6028,-137,-291,8031,3901,-2388,-215,334,-549,0,-2937
General government,Not consolidated,Financial transactions,2026 2nd quarter*,2026,12779,637,-4404,-4754,350,-1070,7095,10891,13009,-10350,-10625,275,0,-5069
General government,Not consolidated,Other changes,2015,11877,-5,63,338,3,335,11408,-3381,0,-4479,1062,1057,5,1,15258
General government,Not consolidated,Other changes,2016,6468,-414,4,-3724,-59,-3665,7779,4660,0,4591,27,-14,41,-61,1808
General government,Not consolidated,Other changes,2017,4460,48,143,-149,-65,-84,5655,-10051,0,-9780,-213,-107,-106,6,14511
General government,Not consolidated,Other changes,2018,623,69,70,-49,8,-57,-114,7,7,-15,-14,-65,51,36,616
General government,Not consolidated,Other changes,2019,11327,-39,162,55,0,55,9254,8183,0,7951,-13,-3,-10,-5,3144
General government,Not consolidated,Other changes,2020,2334,-44,-81,-222,8,-230,1241,4479,0,4501,-47,5,-52,12,-2145
General government,Not consolidated,Other changes,2021,1482,22,27,27,0,27,2316,-15616,0,-15407,23,26,-3,90,17098
General government,Not consolidated,Other changes,2022,-34601,-6,-250,38,0,38,-32010,-78100,0,-77286,12,0,12,-103,43499
General government,Not consolidated,Other changes,2023,13057,-4,42,-46,0,-46,12883,16349,0,16432,-11,0,-11,-38,-3292
General government,Not consolidated,Other changes,2024,15335,170,146,108,0,108,14747,-3966,0,-4246,95,0,95,-23,19301
General government,Not consolidated,Other changes,2025*,28371,0,-123,-176,0,-176,28727,-9061,0,-8960,-19,0,-19,0,37432
General government,Not consolidated,Other changes,2026 1st quarter*,5529,0,-2,26,0,26,5552,-2331,0,-2341,1,0,1,0,7860
General government,Not consolidated,Other changes,2026 2nd quarter*,-1296,0,33,12,0,12,-1243,3849,0,3857,0,0,0,0,-5145
General government,Not consolidated,Price changes and revaluations,2015,11082,19,210,-3,0,-3,10730,-4513,0,-4534,48,0,48,1,15595
General government,Not consolidated,Price changes and revaluations,2016,10867,-10,8,4,0,4,7068,7064,0,6974,22,0,22,-4,3803
General government,Not consolidated,Price changes and revaluations,2017,4371,-24,-30,-5,0,-5,5655,-10067,0,-9780,-93,-30,-63,6,14438
General government,Not consolidated,Price changes and revaluations,2018,832,21,86,0,0,0,-102,-52,0,-15,-7,-21,14,6,884
General government,Not consolidated,Price changes and revaluations,2019,11400,0,152,3,0,3,9267,8239,0,7951,2,-1,3,-5,3161
General government,Not consolidated,Price changes and revaluations,2020,2649,0,-74,-122,0,-122,1248,4602,0,4501,-21,0,-21,12,-1953
General government,Not consolidated,Price changes and revaluations,2021,1558,0,61,54,0,54,2316,-15623,0,-15407,16,4,12,90,17181
General government,Not consolidated,Price changes and revaluations,2022,-34561,4,-250,45,0,45,-32027,-78065,0,-77286,7,0,7,-103,43504
General government,Not consolidated,Price changes and revaluations,2023,13069,-4,42,-54,0,-54,12888,16361,0,16432,-11,0,-11,-38,-3292
General government,Not consolidated,Price changes and revaluations,2024,15004,6,89,108,0,108,14705,-4217,0,-4246,3,0,3,-23,19221
General government,Not consolidated,Price changes and revaluations,2025*,28371,0,-123,-176,0,-176,28727,-9061,0,-8960,-19,0,-19,0,37432
General government,Not consolidated,Price changes and revaluations,2026 1st quarter*,5529,0,-2,26,0,26,5552,-2331,0,-2341,1,0,1,0,7860
General government,Not consolidated,Price changes and revaluations,2026 2nd quarter*,-1296,0,33,12,0,12,-1243,3849,0,3857,0,0,0,0,-5145
General government,Not consolidated,Other volume changes,2015,795,-24,-147,341,3,338,678,1132,0,55,1014,1057,-43,0,-337
General government,Not consolidated,Other volume changes,2016,-4399,-404,-4,-3728,-59,-3669,711,-2404,0,-2383,5,-14,19,-57,-1995
General government,Not consolidated,Other volume changes,2017,89,72,173,-144,-65,-79,0,16,0,0,-120,-77,-43,0,73
General government,Not consolidated,Other volume changes,2018,-209,48,-16,-49,8,-57,-12,59,7,0,-7,-44,37,30,-268
General government,Not consolidated,Other volume changes,2019,-73,-39,10,52,0,52,-13,-56,0,0,-15,-2,-13,0,-17
General government,Not consolidated,Other volume changes,2020,-315,-44,-7,-100,8,-108,-7,-123,0,0,-26,5,-31,0,-192
General government,Not consolidated,Other volume changes,2021,-76,22,-34,-27,0,-27,0,7,0,0,7,22,-15,0,-83
General government,Not consolidated,Other volume changes,2022,-40,-10,0,-7,0,-7,17,-35,0,0,5,0,5,0,-5
General government,Not consolidated,Other volume changes,2023,-12,0,0,8,0,8,-5,-12,0,0,0,0,0,0,0
General government,Not consolidated,Other volume changes,2024,331,164,57,0,0,0,42,251,0,0,92,0,92,0,80
General government,Not consolidated,Other volume changes,2025*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General government,Not consolidated,Other volume changes,2026 1st quarter*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General government,Not consolidated,Other volume changes,2026 2nd quarter*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General government,Not consolidated,Closing balance sheet,2015,347220,38405,11571,100462,36984,63478,98951,656285,27745,405533,143038,63309,79729,647,-309065
General government,Not consolidated,Closing balance sheet,2016,350433,42776,11034,92425,33889,58536,103663,655009,33198,406373,137169,57893,79276,608,-304576
General government,Not consolidated,Closing balance sheet,2017,350954,48023,9843,93221,32294,60927,103649,630673,34275,387098,129067,52142,76925,656,-279719
General government,Not consolidated,Closing balance sheet,2018,353431,50928,11013,93493,29689,63804,103338,620580,37580,378150,122210,45017,77193,728,-267149
General government,Not consolidated,Closing balance sheet,2019,372696,57737,9854,92258,26456,65802,113300,621070,43882,373407,121706,42816,78890,843,-248374
General government,Not consolidated,Closing balance sheet,2020,408953,69523,9410,94920,25275,69645,109964,689689,49878,424850,115784,35540,80244,923,-280736
General government,Not consolidated,Closing balance sheet,2021,432822,76346,10379,94966,22746,72220,112941,716689,62985,430998,111198,29281,81917,1321,-283867
General government,Not consolidated,Closing balance sheet,2022,435532,92396,12084,101330,26174,75156,82303,675925,70841,383923,108230,24966,83264,1773,-240393
General government,Not consolidated,Closing balance sheet,2023,431889,95307,10285,84104,5299,78805,95423,679205,76664,393394,94556,10451,84105,2357,-247316
General government,Not consolidated,Closing balance sheet,2024,477017,112061,12048,99796,3922,95874,109437,713107,96764,397013,94300,7569,86731,3104,-236090
General government,Not consolidated,Closing balance sheet,2025*,539555,131709,9789,113374,3918,109456,137867,757152,110070,408543,106476,18262,88214,3604,-217597
General government,Not consolidated,Closing balance sheet,2026 1st quarter*,550178,131805,10559,119291,9946,109345,143128,762852,113971,403814,106262,18596,87666,3604,-212674
General government,Not consolidated,Closing balance sheet,2026 2nd quarter*,550908,144584,11229,114899,5192,109707,140815,773796,124862,420680,95912,7971,87941,3604,-222888
Households including NPISHs,Not consolidated,Opening balance sheet,2015,2356326,407953,9682,10075,380,9695,474018,857509,,0,819323,45636,773687,,1498817
Households including NPISHs,Not consolidated,Opening balance sheet,2016,2467984,412837,8051,10189,503,9686,491561,871073,,0,832945,45754,787191,,1596911
Households including NPISHs,Not consolidated,Opening balance sheet,2017,2647629,422672,7527,9876,100,9776,530994,884428,,2,848994,45002,803992,,1763201
Households including NPISHs,Not consolidated,Opening balance sheet,2018,2651207,429407,7271,10070,95,9975,547027,903910,,4,869087,45391,823696,,1747297
Households including NPISHs,Not consolidated,Opening balance sheet,2019,2701635,437818,7009,10582,341,10241,548719,922631,,6,889357,45498,843859,,1779004
Households including NPISHs,Not consolidated,Opening balance sheet,2020,3013055,461623,7152,10728,73,10655,581623,943970,,8,909852,46126,863726,,2069085
Households including NPISHs,Not consolidated,Opening balance sheet,2021,3298983,506007,7166,11223,230,10993,618865,968394,,10,937237,47403,889834,,2330589
Households including NPISHs,Not consolidated,Opening balance sheet,2022,3318148,541854,6702,11764,433,11331,704163,1003533,,10,972453,44503,927950,,2314615
Households including NPISHs,Not consolidated,Opening balance sheet,2023,2947275,576698,6415,12407,596,11811,708568,1046456,,10,1009411,45483,963928,,1900819
Households including NPISHs,Not consolidated,Opening balance sheet,2024,3157246,600118,7329,12892,840,12052,749150,1058932,,10,1016443,47310,969133,,2098314
Households including NPISHs,Not consolidated,Opening balance sheet,2025*,3363908,634096,7692,13159,724,12435,805732,1096858,,10,1056255,49382,1006873,,2267050
Households including NPISHs,Not consolidated,Opening balance sheet,2026 1st quarter*,3285678,678041,7639,13509,686,12823,867385,1146529,,10,1105398,52100,1053298,,2139149
Households including NPISHs,Not consolidated,Opening balance sheet,2026 2nd quarter*,3455043,685169,8702,13673,760,12913,879944,1157679,,10,1117977,52912,1065065,,2297364
Households including NPISHs,Not consolidated,Financial transactions,2015,32516,4728,-1586,112,123,-11,7799,14509,,0,14382,394,13988,,18007
Households including NPISHs,Not consolidated,Financial transactions,2016,33904,9524,-636,-310,-403,93,11034,13521,,2,16148,-447,16595,,20383
Households including NPISHs,Not consolidated,Financial transactions,2017,27221,7113,-544,195,-5,200,3007,20626,,2,20612,620,19992,,6595
Households including NPISHs,Not consolidated,Financial transactions,2018,25623,8343,-2,510,246,264,-692,18805,,2,19990,208,19782,,6818
Households including NPISHs,Not consolidated,Financial transactions,2019,35036,23726,-212,146,-268,414,-9352,21587,,2,20743,804,19939,,13449
Households including NPISHs,Not consolidated,Financial transactions,2020,66728,44621,145,495,157,338,342,24964,,2,27638,1469,26169,,41764
Households including NPISHs,Not consolidated,Financial transactions,2021,72620,35609,-349,541,203,338,16331,35257,,0,35299,-2824,38123,,37363
Households including NPISHs,Not consolidated,Financial transactions,2022,57952,34471,574,643,163,480,-3922,43059,,0,37065,1104,35961,,14893
Households including NPISHs,Not consolidated,Financial transactions,2023,36351,23608,1251,23,-218,241,-16156,12570,,0,7114,1920,5194,,23781
Households including NPISHs,Not consolidated,Financial transactions,2024,68690,33847,200,267,-116,383,-788,38044,,0,39926,2166,37760,,30646
Households including NPISHs,Not consolidated,Financial transactions,2025*,85844,44225,-21,350,-38,388,9336,49826,,0,49285,2811,46474,,36018
Households including NPISHs,Not consolidated,Financial transactions,2026 1st quarter*,136695,7080,1171,164,74,90,1516,11160,,0,12594,827,11767,,125535
Households including NPISHs,Not consolidated,Financial transactions,2026 2nd quarter*,40695,20701,308,-29,-124,95,9953,16415,,0,13514,851,12663,,24280
Households including NPISHs,Not consolidated,Other changes,2015,79142,156,-45,2,0,2,9744,-945,,0,-760,-276,-484,,80087
Households including NPISHs,Not consolidated,Other changes,2016,145741,311,112,-3,0,-3,28399,-166,,0,-99,-305,206,,145907
Households including NPISHs,Not consolidated,Other changes,2017,-23643,-378,288,-1,0,-1,13026,-1144,,0,-519,-231,-288,,-22499
Households including NPISHs,Not consolidated,Other changes,2018,24805,68,-260,2,0,2,2384,-84,,0,280,-101,381,,24889
Households including NPISHs,Not consolidated,Other changes,2019,276384,79,355,0,0,0,42256,-248,,0,-248,-176,-72,,276632
Households including NPISHs,Not consolidated,Other changes,2020,219200,-237,-131,0,0,0,36900,-540,,0,-253,-192,-61,,219740
Households including NPISHs,Not consolidated,Other changes,2021,-53455,238,-115,0,0,0,68967,-118,,0,-83,-76,-7,,-53337
Households including NPISHs,Not consolidated,Other changes,2022,-428825,373,-861,0,0,0,8327,-136,,0,-107,-124,17,,-428689
Households including NPISHs,Not consolidated,Other changes,2023,173620,-188,-337,462,462,0,56738,-94,,0,-82,-93,11,,173714
Households including NPISHs,Not consolidated,Other changes,2024,137972,131,163,0,0,0,57370,-118,,0,-114,-94,-20,,138090
Households including NPISHs,Not consolidated,Other changes,2025*,-164074,-280,-32,0,0,0,52317,-155,,0,-142,-93,-49,,-163919
Households including NPISHs,Not consolidated,Other changes,2026 1st quarter*,32670,48,-108,0,0,0,11043,-10,,0,-15,-15,0,,32680
Households including NPISHs,Not consolidated,Other changes,2026 2nd quarter*,78899,26,-10,0,0,0,32181,-11,,0,-30,-23,-7,,78910
Households including NPISHs,Not consolidated,Price changes and revaluations,2015,76332,155,-45,4,0,4,9744,-101,,0,46,22,24,,76433
