institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
Total domestic sectors,Not consolidated,Other changes,2026 1st quarter*,-111199,3317,-10836,6455,2267,4188,-36986,-60776,5126,-16436,1807,-1186,2993,35486,-50423
Total domestic sectors,Not consolidated,Other changes,2026 2nd quarter*,233045,1911,20129,1805,4513,-2708,271625,473654,2614,35355,-623,554,-1177,482094,-240609
Total domestic sectors,Not consolidated,Price changes and revaluations,2015,190064,24953,-12485,89833,39327,50506,162800,180493,28697,15593,67125,31002,36123,108415,9571
Total domestic sectors,Not consolidated,Price changes and revaluations,2016,408482,-138,28135,23660,20198,3462,228998,366015,1391,13146,17639,8466,9173,234330,42467
Total domestic sectors,Not consolidated,Price changes and revaluations,2017,-233739,-28000,-38240,-114581,-55405,-59176,84539,-184247,-37140,-63331,-80980,-42675,-38305,158751,-49492
Total domestic sectors,Not consolidated,Price changes and revaluations,2018,80994,7833,-8190,37640,17318,20322,98151,39884,10914,-17833,41518,21165,20353,53071,41110
Total domestic sectors,Not consolidated,Price changes and revaluations,2019,1022841,5162,42958,28226,8971,19255,624266,903484,6562,67165,15632,7965,7667,544191,119357
Total domestic sectors,Not consolidated,Price changes and revaluations,2020,102420,-19363,17329,-71147,-28450,-42697,-73076,-9842,-20774,-13292,-43124,-22899,-20225,-109109,112262
Total domestic sectors,Not consolidated,Price changes and revaluations,2021,418696,16333,-37530,46510,17118,29392,672884,578204,20647,-9138,25729,13449,12280,749335,-159508
Total domestic sectors,Not consolidated,Price changes and revaluations,2022,-1104815,10098,-238974,38611,15353,23258,-218389,-837931,10499,-221461,26505,13473,13032,-128062,-266884
Total domestic sectors,Not consolidated,Price changes and revaluations,2023,-54324,-7634,42074,-19390,-11547,-7843,239953,8202,-8319,63073,-15915,-7255,-8660,309316,-62526
Total domestic sectors,Not consolidated,Price changes and revaluations,2024,220660,11753,155,28802,15698,13104,431939,141553,17556,45251,13125,4473,8652,322629,79107
Total domestic sectors,Not consolidated,Price changes and revaluations,2025*,-765700,-24400,-48026,-70931,-35884,-35047,69788,-522154,-36024,-45467,-36227,-11312,-24915,246212,-243546
Total domestic sectors,Not consolidated,Price changes and revaluations,2026 1st quarter*,-106994,4447,-10798,9271,5026,4245,-36765,-56707,6256,-16436,4610,1573,3037,35622,-50287
Total domestic sectors,Not consolidated,Price changes and revaluations,2026 2nd quarter*,222322,2128,20108,6362,3049,3313,256149,462894,2831,35355,3927,779,3148,466567,-240572
Total domestic sectors,Not consolidated,Other volume changes,2015,4829,-12,276,-1996,-439,-1557,6694,3175,0,733,-2462,-896,-1566,4948,1654
Total domestic sectors,Not consolidated,Other volume changes,2016,40638,843,-444,35773,-117,35890,-84,41805,863,-475,36915,-117,37032,32,-1167
Total domestic sectors,Not consolidated,Other volume changes,2017,-22746,0,173,-22978,-2435,-20543,-1980,-24335,0,-21890,-2358,-5492,3134,-1224,1589
Total domestic sectors,Not consolidated,Other volume changes,2018,-9195,-239,1120,-4522,-3515,-1007,1024,-10373,7,104,-5393,-2809,-2584,1007,1178
Total domestic sectors,Not consolidated,Other volume changes,2019,-24273,-1269,157,-844,-95,-749,-19021,-20157,0,0,-3989,-429,-3560,-12885,-4116
Total domestic sectors,Not consolidated,Other volume changes,2020,-14216,1630,-7,2865,3585,-720,16116,-9728,0,21674,-935,-389,-546,4190,-4488
Total domestic sectors,Not consolidated,Other volume changes,2021,47213,0,-27,98950,20544,78406,-51902,50013,0,10,99008,20541,78467,-49197,-2800
Total domestic sectors,Not consolidated,Other volume changes,2022,18913,0,-80,386,-136,522,7137,18027,0,-6,402,-136,538,6164,886
Total domestic sectors,Not consolidated,Other volume changes,2023,-2478,-330,-307,-25490,14873,-40363,21805,12189,0,0,-23008,13730,-36738,33424,-14667
Total domestic sectors,Not consolidated,Other volume changes,2024,-18472,-1839,-577,2455,9410,-6955,-18742,-24022,0,-10820,-25,-98,73,-13416,5550
Total domestic sectors,Not consolidated,Other volume changes,2025*,3629,-7306,-178,7142,7170,-28,1880,2592,0,-1,-127,-80,-47,629,1037
Total domestic sectors,Not consolidated,Other volume changes,2026 1st quarter*,-4205,-1130,-38,-2816,-2759,-57,-221,-4069,-1130,0,-2803,-2759,-44,-136,-136
Total domestic sectors,Not consolidated,Other volume changes,2026 2nd quarter*,10723,-217,21,-4557,1464,-6021,15476,10760,-217,0,-4550,-225,-4325,15527,-37
Total domestic sectors,Not consolidated,Closing balance sheet,2015,16216753,1495762,1266850,4563208,1550779,3012429,6343088,16024705,1628950,1878247,4077513,1383275,2694238,5889798,192048
Total domestic sectors,Not consolidated,Closing balance sheet,2016,17412074,1601477,1334250,4743032,1550169,3192863,7012464,17127647,1760581,1947387,4188811,1361649,2827162,6533168,284427
Total domestic sectors,Not consolidated,Closing balance sheet,2017,17622943,1667703,1327998,4770373,1541494,3228879,7260435,17325774,1764977,1832514,4335187,1468569,2866618,6804911,297169
Total domestic sectors,Not consolidated,Closing balance sheet,2018,17406207,1656963,1344479,4791582,1461294,3330288,7035300,17008470,1755655,1858630,4309756,1426741,2883015,6555699,397737
Total domestic sectors,Not consolidated,Closing balance sheet,2019,18527717,1657734,1409590,4757508,1495091,3262417,7714417,17962483,1727018,1934566,4214357,1409649,2804708,7206662,565234
Total domestic sectors,Not consolidated,Closing balance sheet,2020,19020745,1984288,1454733,4659618,1400243,3259375,7622980,18300806,2023966,1987737,4094115,1332140,2761975,7051717,719939
Total domestic sectors,Not consolidated,Closing balance sheet,2021,19833880,2147265,1520749,4924169,1428712,3495457,8078848,19189746,2228247,2037617,4213941,1289583,2924358,7654487,644134
Total domestic sectors,Not consolidated,Closing balance sheet,2022,19338874,2304563,1247150,5115113,1577298,3537815,7633739,18786193,2248972,1867405,4296136,1328551,2967585,7324519,552681
Total domestic sectors,Not consolidated,Closing balance sheet,2023,19249801,2177972,1316513,5083671,1599812,3483859,7599069,18683870,2120990,1924240,4214100,1294614,2919486,7358053,565931
Total domestic sectors,Not consolidated,Closing balance sheet,2024,19961008,2254507,1404237,5182463,1606703,3575760,7932343,19235682,2184940,1977245,4248431,1261394,2987037,7666280,725326
Total domestic sectors,Not consolidated,Closing balance sheet,2025*,20071265,2385896,1383013,5289006,1644480,3644526,7952676,19512675,2272192,2017659,4322360,1301284,3021076,7834938,558590
Total domestic sectors,Not consolidated,Closing balance sheet,2026 1st quarter*,20510512,2482062,1437266,5336331,1686355,3649976,7947181,19976342,2368249,2040218,4362587,1324575,3038012,7922838,534170
Total domestic sectors,Not consolidated,Closing balance sheet,2026 2nd quarter*,20823669,2499783,1462303,5361122,1735764,3625358,8187598,20522202,2379753,2091157,4334335,1324225,3010110,8403652,301467
The non-financial corporations sector,Not consolidated,Opening balance sheet,2015,2599176,219646,14030,890071,391943,498128,1253416,3653437,,76017,1455946,535417,920529,1907178,-1054261
The non-financial corporations sector,Not consolidated,Opening balance sheet,2016,2846164,228851,12311,988622,416371,572251,1389958,3945437,,81042,1507804,536410,971394,2141029,-1099273
The non-financial corporations sector,Not consolidated,Opening balance sheet,2017,3095971,242493,9197,1083067,429577,653490,1518188,4215228,,115515,1550318,520083,1030235,2323114,-1119257
The non-financial corporations sector,Not consolidated,Opening balance sheet,2018,3198502,254336,8012,1166395,468002,698393,1519241,4351719,,123245,1597975,530402,1067573,2406023,-1153217
The non-financial corporations sector,Not consolidated,Opening balance sheet,2019,3293461,261353,9006,1180639,461478,719161,1588282,4379176,,130075,1618298,547800,1070498,2402307,-1085715
The non-financial corporations sector,Not consolidated,Opening balance sheet,2020,3382103,263120,6134,1207003,451901,755102,1657335,4590810,,135783,1610681,522721,1087960,2614983,-1208707
The non-financial corporations sector,Not consolidated,Opening balance sheet,2021,3397913,325822,6608,1210435,432457,777978,1609700,4608804,,151612,1605050,499439,1105611,2613503,-1210891
The non-financial corporations sector,Not consolidated,Opening balance sheet,2022,3897520,381394,6271,1304919,468693,836226,1914025,5330653,,157878,1736049,581598,1154451,3169701,-1433133
The non-financial corporations sector,Not consolidated,Opening balance sheet,2023,4151387,392539,7153,1392843,543904,848939,2045378,5403089,,163663,1822381,645844,1176537,3124926,-1251702
The non-financial corporations sector,Not consolidated,Opening balance sheet,2024,3980193,380521,7706,1426951,605465,821486,1853249,5396130,,180357,1797976,675252,1122724,3140830,-1415937
The non-financial corporations sector,Not consolidated,Opening balance sheet,2025*,4079190,399535,9018,1414333,580310,834023,1939250,5519037,,187301,1797419,659286,1138133,3256872,-1439847
