"Institutional sectors","Not Consolidated or Consolidated","Balance sheets and transactions","Periods","Assets Total (million euros)","Assets Monetary gold and special drawing rights
Total (million euros)","Monetary gold and special drawing rights Monetary gold (million euros)","Monetary gold and special drawing rights Special drawing rights (SDRs) (million euros)","Currency and deposits Total (million euros)","Currency and deposits Currency (million euros)","Currency and deposits Transferable deposits (million euros)","Currency and deposits Savings deposits and other deposits
Total (million euros)","Savings deposits and other deposits Savings deposits (million euros)","Savings deposits and other deposits Other deposits (million euros)","Debt securities Total (million euros)","Debt securities Short-term securities (million euros)","Debt securities Long-term securities (million euros)","Loans Total (million euros)","Loans Short-term loans (million euros)","Loans Long-term loans (million euros)","Equity and investment fund shares Total (million euros)","Equity and investment fund shares Equity
Total (million euros)","Equity Listed shares (million euros)","Equity Unlisted shares (million euros)","Equity Other equity (million euros)","Investment fund shares or units Total (million euros)","Investment fund shares or units Money market fund (MMF) shares or units (million euros)","Investment fund shares or units Non-MMF investment fund shares/units (million euros)","Insurance and pension schemes Total (million euros)","Insurance and pension schemes Non-life insurance technical reserves (million euros)","Insurance and pension schemes Life insurance and annuity entitlements (million euros)","Insurance and pension schemes Pension entitlements and claims
Total (million euros)","Pension entitlements and claims Pension entitlements (mln euro)","Pension entitlements and claims Other claims
Total (mln euro)","Other claims Claims on pension managers (mln euro)","Other claims Rights on non-pension entitlements (mln euro)","Insurance and pension schemes Provisions for calls under guarantees (million euros)","Fin. derivatives, employee stock options Total (million euros)","Fin. derivatives, employee stock options Financial derivatives
Total (million euros)","Financial derivatives Options (million euros)","Financial derivatives Forwards (million euros)","Fin. derivatives, employee stock options Employee stock options (million euros)","Other accounts receivable/payable Total (million euros)","Other accounts receivable/payable Trade credits and advances (million euros)","Other accounts receivable/payable Other receivable/payable (million euros)","Liabilities Totaal (million euros)","Liabilities Monetary gold and special drawing rights
Total (million euros)","Monetary gold and special drawing rights Monetary gold (million euros)","Monetary gold and special drawing rights Special drawing rights (SDRs) (million euros)","Currency and deposits Total (million euros)","Currency and deposits Currency (million euros)","Currency and deposits Transferable deposits (million euros)","Currency and deposits Savings deposits and other deposits
Total (million euros)","Savings deposits and other deposits Savings deposits (million euros)","Savings deposits and other deposits Other deposits (million euros)","Debt securities Total (million euros)","Debt securities Short-term securities (million euros)","Debt securities Long-term securities (million euros)","Loans Total (million euros)","Loans Short-term loans (million euros)","Loans Long-term loans (million euros)","Equity and investment fund shares Total (million euros)","Equity and investment fund shares Equity
Total (million euros)","Equity Listed shares (million euros)","Equity Unlisted shares (million euros)","Equity Other equity (million euros)","Investment fund shares or units Total (million euros)","Investment fund shares or units Money market fund (MMF) shares or units (million euros)","Investment fund shares or units Non-MMF investment fund shares/units (million euros)","Insurance, pension and guarantee schemes Total (million euros)","Insurance, pension and guarantee schemes Non-life insurance technical reserves (million euros)","Insurance, pension and guarantee schemes Life insurance and annuity entitlements (million euros)","Insurance, pension and guarantee schemes Pension entitlements and claims
Total (million euros)","Pension entitlements and claims Pension entitlements (mln euro)","Pension entitlements and claims Other claims
Total (mln euro)","Other claims Claims on pension managers (mln euro)","Other claims Rights on non-pension entitlements (mln euro)","Insurance, pension and guarantee schemes Provisions for calls under guarantees (million euros)","Fin. derivatives, employee stock options Total (million euros)","Fin. derivatives, employee stock options Financial derivatives
Total (million euros)","Financial derivatives Options (million euros)","Financial derivatives Forwards (million euros)","Fin. derivatives, employee stock options Employee stock (million euros)","Other accounts receivable/payable Total (million euros)","Other accounts receivable/payable Trade credits and advances (million euros)","Other accounts receivable/payable Other receivable/payable (million euros)","Net worth (million euros)"
"Total domestic sectors","Not consolidated","Opening balance sheet","2026 1st quarter*","20,071,265","88,421","72,250","16,171","2,385,896","37,064","822,233","1,526,599","536,078","990,521","1,383,013","71,016","1,311,997","5,289,006","1,644,480","3,644,526","7,952,676","6,736,814","1,113,821","5,343,592","279,401","1,215,862","80,292","1,135,570","1,700,659","43,423","97,171","1,559,854","1,547,692","12,162.0","12,162","0","211","614,723","614,075","192,640","421,435","648","656,871","247,400","409,471","19,512,675","15,473","","15,473","2,272,192","88,604","972,178","1,211,410","513,139","698,271","2,017,659","134,747","1,882,912","4,322,360","1,301,284","3,021,076","7,834,938","6,983,602","1,550,657","5,061,538","371,407","851,336","2,912","848,424","1,694,700","42,929","95,789","1,555,771","1,543,609","12,162","12,162","0","211","694,640","693,992","180,598","513,394","648","660,713","228,100","432,613","558,590"
"Total domestic sectors","Not consolidated","Opening balance sheet","2026 2nd quarter*","20,510,512","94,996","78,640","16,356","2,482,062","38,224","861,297","1,582,541","544,604","1,037,937","1,437,266","92,636","1,344,630","5,336,331","1,686,355","3,649,976","7,947,181","6,721,896","1,061,703","5,371,633","288,560","1,225,285","90,041","1,135,244","1,845,762","45,362","95,518","1,704,666","1,693,195","11,471.0","11,471","0","216","657,146","656,481","232,942","423,539","665","709,768","251,107","458,661","19,976,342","15,683","","15,683","2,368,249","87,232","1,034,497","1,246,520","520,943","725,577","2,040,218","165,320","1,874,898","4,362,587","1,324,575","3,038,012","7,922,838","7,069,839","1,555,718","5,133,415","380,706","852,999","3,171","849,828","1,839,826","44,981","94,148","1,700,481","1,689,010","11,471","11,471","0","216","723,839","723,174","213,403","509,771","665","703,102","228,338","474,764","534,170"
"Total domestic sectors","Not consolidated","Financial transactions","2026 1st quarter*","550,446","-40","0","-40","92,849","1,160","39,126","52,563","8,512","44,051","65,089","21,632","43,457","40,870","39,608","1,262","31,491","23,967","-17,897","40,119","1,745","7,524","8,828","-1,304","124,114","1,872","-830","123,067","123,023","44.0","44","0","5","143,352","143,354","145,285","-1,931","-2","52,721","3,714","49,007","524,443","-7","","-7","90,931","-1,372","59,895","32,408","7,790","24,618","38,995","29,011","9,984","38,420","24,477","13,943","52,414","50,766","23,916","28,617","-1,767","1,648","275","1,373","124,172","2,002","-830","122,995","122,951","44","44","0","5","137,521","137,523","137,523","","-2","41,997","208","41,789","26,003"
"Total domestic sectors","Not consolidated","Financial transactions","2026 2nd quarter*","80,112","117","0","117","15,810","2,040","-16,363","30,133","13,050","17,083","4,908","14,909","-10,001","22,986","44,896","-21,910","-31,208","-20,036","-29,589","1,945","7,608","-11,172","-508","-10,664","11,853","-102","-1,308","13,258","13,214","44.0","44","0","5","65,193","65,195","61,716","3,479","-2","-9,547","7,695","-17,242","72,206","3","","3","8,890","854","-22,055","30,091","12,942","17,149","15,584","8,397","7,187","-27,629","-904","-26,725","-1,280","1,547","-1,483","24","3,006","-2,827","-12","-2,815","11,769","-84","-1,308","13,156","13,112","44","44","0","5","54,711","54,713","54,713","","-2","10,158","6,564","3,594","7,906"
"Total domestic sectors","Not consolidated","Other changes","2026 1st quarter*","-111,199","6,615","6,390","225","3,317","0","-62","3,379","14","3,365","-10,836","-12","-10,824","6,455","2,267","4,188","-36,986","-38,885","-34,221","-12,078","7,414","1,899","921","978","20,989","67","-823","21,745","22,480","-735.0","-735","0","0","-100,929","-100,948","-104,983","4,035","19","176","-7","183","-60,776","217","","217","5,126","0","2,424","2,702","14","2,688","-16,436","1,562","-17,998","1,807","-1,186","2,993","35,486","35,471","-18,855","43,260","11,066","15","-16","31","20,954","50","-811","21,715","22,450","-735","-735","0","0","-108,322","-108,341","-104,718","-3,623","19","392","30","362","-50,423"
"Total domestic sectors","Not consolidated","Other changes","2026 2nd quarter*","233,045","-8,903","-9,018","115","1,911","0","127","1,784","10","1,774","20,129","275","19,854","1,805","4,513","-2,708","271,625","201,891","95,278","111,381","-4,768","69,734","-99","69,833","47,738","76","3,662","44,000","42,966","1,034.0","1,034","0","0","-101,372","-101,391","-48,746","-52,645","19","112","8","104","473,654","110","","110","2,614","0","1,417","1,197","10","1,187","35,355","1,469","33,886","-623","554","-1,177","482,094","419,954","422,686","5,416","-8,148","62,140","5","62,135","47,631","40","3,609","43,982","42,948","1,034","1,034","0","0","-93,789","-93,808","-41,873","-51,935","19","262","13","249","-240,609"
"Total domestic sectors","Not consolidated","Price changes and revaluations","2026 1st quarter*","-106,994","6,615","6,390","225","4,447","0","1,068","3,379","14","3,365","-10,798","-12","-10,786","9,271","5,026","4,245","-36,765","-38,742","-34,197","-11,944","7,399","1,977","922","1,055","20,989","67","-823","21,745","22,480","-735.0","-735","0","0","-100,929","-100,948","-104,983","4,035","19","176","-7","183","-56,707","217","","217","6,256","0","3,554","2,702","14","2,688","-16,436","1,562","-17,998","4,610","1,573","3,037","35,622","35,607","-18,853","43,394","11,066","15","-16","31","20,954","50","-811","21,715","22,450","-735","-735","0","0","-108,322","-108,341","-104,718","-3,623","19","392","30","362","-50,287"
"Total domestic sectors","Not consolidated","Price changes and revaluations","2026 2nd quarter*","222,322","-8,903","-9,018","115","2,128","0","344","1,784","10","1,774","20,108","275","19,833","6,362","3,049","3,313","256,149","186,357","95,203","95,913","-4,759","69,792","-103","69,895","47,738","76","3,662","44,000","42,966","1,034.0","1,034","0","0","-101,372","-101,391","-48,746","-52,645","19","112","8","104","462,894","110","","110","2,831","0","1,634","1,197","10","1,187","35,355","1,469","33,886","3,927","779","3,148","466,567","404,427","422,686","-10,111","-8,148","62,140","5","62,135","47,631","40","3,609","43,982","42,948","1,034","1,034","0","0","-93,789","-93,808","-41,873","-51,935","19","262","13","249","-240,572"
"Total domestic sectors","Not consolidated","Other volume changes","2026 1st quarter*","-4,205","0","0","0","-1,130","0","-1,130","0","0","0","-38","0","-38","-2,816","-2,759","-57","-221","-143","-24","-134","15","-78","-1","-77","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","-4,069","0","","0","-1,130","0","-1,130","0","0","0","0","0","0","-2,803","-2,759","-44","-136","-136","-2","-134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-136"
"Total domestic sectors","Not consolidated","Other volume changes","2026 2nd quarter*","10,723","0","0","0","-217","0","-217","0","0","0","21","0","21","-4,557","1,464","-6,021","15,476","15,534","75","15,468","-9","-58","4","-62","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","10,760","0","","0","-217","0","-217","0","0","0","0","0","0","-4,550","-225","-4,325","15,527","15,527","0","15,527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-37"
